record - leader,001,008,008 1,008 2,008 3,008 4,008 5,008 6,008 7,008 8,035,040,245,260,310,310 1,310 2,310 2 1,310 2 2,310 3,310 3 1,310 3 2,310 4,310 4 1,310 4 2,310 5,310 6,336,336 1,336 2,336 2 1,336 2 2,336 2 3,336 2 4,336 2 5,337,337 1,337 2,337 2 1,337 2 2,338,338 1,338 2 1,338 2 2,653,653 1,653 2,653 2 3,653 2 4,653 2 5,653 2 6,653 2 7,653 2 1,653 2 2,653 3,264,996,996 1,996 2,996 2 1,996 2 2,996 3,996 3 1,996 3 2,996 4,996 4 1,996 4 2,996 5,996 5 1,996 5 2,996 6,996 7,996 8,998,998 1,998 2,998 3,998 4,998 5,998 6,998 7,650,710,710 1,710 2,710 3,710 3 1,710 3 2,710 3 3,710 3 4,710 3 5,710 3 6,710 3 7,710 3 8,710 4,710 4 1,710 4 2,710 5,710 6,710 7,710 8,710 9,710 10,710 11,710 12,710 13,710 14,710 15,710 16,710 17,710 18,710 19,710 20,710 21,710 22,246,500,500 1,500 2,500 2 1,500 2 2,500 3,500 4,500 5,500 6,500 7,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58
00560nas  2200193u  4500,9.91882696010148E15,971106q19851987be qr|p||     0|||a|dut c,971106q19851987be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001882696LBS01-Aleph^$ $ $a7222064^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918826960101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSalesiaans missienieuws.,^$ $ $aBrussel$ $ $bDMOS$ $ $c[1985]-[1987],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aDMOS.$ $ $4oth,^,aDMOS.,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00735nas  2200217u  4500,9.91882963010148E15,971106d19849999be qr|p||     0|||a|dut c,971106d19849999be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001882963LBS01-Aleph^$ $ $a7223288^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918829630101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe syndicale jongerenkrant$ $ $bdriemaandelijks tijdschrift ACV - VKAJ - Kajottersbeweging /$ $ $cUitg. ACV in samenwerking met VKAJ en Kajottersbeweging.,^$ $ $aS.l.$ $ $bACV$ $ $c1984-?,^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aACV$ $ $4oth^$2$ $aVKAJ.$ $ $4oth^$2$ $aKajottersbeweging$ $ $4oth,^,aACV,4oth^,4oth^,,,,,,,,aVKAJ.,aVKAJ.,,4oth^,aKajottersbeweging,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00582nas  2200193u  4500,9.91883532010148E15,971110q19821984be qr|p||     0|||a|dut c,971110q19821984be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001883532LBS01-Aleph^$ $ $a7226032^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918835320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTer Munk.,^$ $ $aBrussel$ $ $bVormingscentrum Ter Munk$ $ $c1982-[1984],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aVormingscentrum Ter Munk$ $ $4oth,^,aVormingscentrum Ter Munk,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00623nas  2200193u  4500,9.91884283010148E15,971113q19829999be br|p||     0|||a|dut c,971113q19829999be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001884283LBS01-Aleph^$ $ $a7229796^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918842830101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTip : tweemaandelijkse periodiek van St.-Paulusjeugdkampen.,^$ $ $aBrussel$ $ $bSt.-Paulusjeugdkampen$ $ $c[1982]-?,^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aSt.-Paulusjeugdkampen$ $ $4oth,^,aSt.-Paulusjeugdkampen,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00626nas  2200193u  4500,9.91884344010148E15,971113q19841988be qr|p||     0|||a|dut c,971113q19841988be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001884344LBS01-Aleph^$ $ $a7230017^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918843440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTelex.,^$ $ $aHasselt$ $ $bSociaal en fiscaal middenstandssecretariaat$ $ $c1984-[1988],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aSociaal en fiscaal middenstandssecretariaat$ $ $cHasselt$ $ $4oth,^,aSociaal en fiscaal middenstandssecretariaat,cHasselt,cH,sselt,,,,,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00561nas  2200193u  4500,9.91884960010148E15,971114q19831988be ur|p||     0|||a|dut c,971114q19831988be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001884960LBS01-Aleph^$ $ $a7232732^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918849600101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTelex ouders voor PPT.,^$ $ $aBrussel$ $ $bCOB-VLO$ $ $c[1983]-[1988],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aCOB-VLO$ $ $4oth,^,aCOB-VLO,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01038nas  2200277u  4500,9.91885149010148E15,971117d19822001be br|p||     0|||a|eng c,971117d19822001be br,p,,0,,,a,English,^$ $ $a(BeLVLBS)001885149LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918851490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aUNDA News$ $ $bbi-monthly newsletter,,^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c[1982]-2001^$ $1$aBruxelles$ $ $bUNDA$ $ $3[1982]-2001,^$ $ $aKADOC$ $ $bphysical$ $ $c201412,^,aKADOC,,KADOC,bphysical,,physical,c201412,,201412.0,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aUNDA$ $ $gInternational Catholic Association for Radio and Television$ $ $4edt,^,aUNDA,gInternational Catholic Association for Radio and Television,gIntern,tion,l C,tholic Associ,tion for R,dio ,nd Television,,4edt,4edt,,,,,,,,,,,,,,,,,,,,,^$ $ $aOndertitel varieert^$ $ $aFrom 1999 until 2001,^,aOndertitel varieert^,,Ondertitel varieert,aFrom 1999 until 2001,,,,,"several issues are published as a joint newsletter with the organization OCIC under the name ""OCIC-UNDA-INFO""",,^$ $ $a0258-9494$ $ $2print,^$1$0$aThe wide world of Unda$ $ $bmonthly newsletter$ $ $g[1982]-1988,^$ $ $aMonthly$ $ $b[1982]-1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00595nas  2200193u  4500,9.91885465010148E15,971117q19851986be qr|p||     0|||a|dut c,971117q19851986be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001885465LBS01-Aleph^$ $ $a7234767^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918854650101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aVariant.,^$ $ $aHasselt$ $ $bLicht en liefde. Gewest Limburg$ $ $c1985-[1986],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aLicht en liefde. Gewest Limburg$ $ $4oth,^,aLicht en liefde. Gewest Limburg,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00754nas  2200205u  4500,9.91887899010148E15,971124q19811989be qr|p||     0|||a|dut c,971124q19811989be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001887899LBS01-Aleph^$ $ $a7245046^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918878990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZorgend leven bij onze bejaarden$ $ $bContact met het personeel van de bejaardentehuizen.,^$ $ $aHasselt$ $ $bBisdom Hasselt. Secretariaat bejaardenpastoraal$ $ $c1981-[1989],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00574nas  2200193u  4500,9.91888124010148E15,971124q19839999be mr|p||     0|||a|dut c,971124q19839999be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001888124LBS01-Aleph^$ $ $a7246056^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918881240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aVanonderuit.,^$ $ $aS.l.$ $ $bACV-CCMB Boelwerf Temse$ $ $c1983-?,^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aACV-CCMB Boelwerf$ $ $cTemse$ $ $4oth,^,aACV-CCMB Boelwerf,cTemse,cTemse,,,,,,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00554nas  2200169u  4500,9.91890485010148E15,971124q19839999be mr|p||     0|||a|dut c,971124q19839999be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001890485LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918904850101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aTongeren ziekenzorg.,^$ $ $aTongeren$ $ $bVerbond van kristelijke mutualiteiten van Limburg. Afdeling Tongeren$ $ $c1981-[1985],^$ $ $aSemiannual,^,aSemiannual,,Semiannual,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00674nas  2200205u  4500,9.91890942010148E15,971202q19841989be qr|p||     0|||a|dut c,971202q19841989be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001890942LBS01-Aleph^$ $ $a7258446^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918909420101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZomaar.,^$ $ $aRoeselare$ $ $bJeugd en gezondheid CM. Verbond Roeselare$ $ $c1984-[1989],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00598nas  2200205u  4500,9.91892611010148E15,971208q19851988be qr|p||     0|||a|dut c,971208q19851988be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001892611LBS01-Aleph^$ $ $a7266590^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSMB info.,^$ $ $aBrussel$ $ $bSint-Michielsbond$ $ $c[1985]-[1988],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aSint-Michielsbond$ $ $4oth,^,aSint-Michielsbond,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00641nas  2200193u  4500,9.91892670010148E15,971208q19831990be qr|p||     0|||a|dut c,971208q19831990be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001892670LBS01-Aleph^$ $ $a7266796^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926700101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe kleine zeg : informatieblad voor de CVP-leden van het arr. Ieper.,^$ $ $aIeper$ $ $bCVP. Arrondissement Ieper$ $ $c1983-[1990],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aCVP. Arrondissement Ieper$ $ $4oth,^,aCVP. Arrondissement Ieper,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00652nas  2200193u  4500,9.91892694010148E15,971208q19811982be mr|p||     0|||a|dut c,971208q19811982be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001892694LBS01-Aleph^$ $ $a7266895^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926940101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aService : maandelijks tijdschrift van de Christen democratische omroep.,^$ $ $aBrussel$ $ $bChristen democratische omroep$ $ $c1981-[1982],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aChristen democratische omroep$ $ $4oth,^,aChristen democratische omroep,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9.91894174010148E15,971212q19821983be ur|p||     0|||a|dut c,971212q19821983be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001894174LBS01-Aleph^$ $ $a7273414^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918941740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVP overzee. Informatieblad.,^$ $ $aKinshasa$ $ $bCVP$ $ $c[1982]-[1983],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,^,aCVP,gChristelijke volkspartij,gChristelijke volksp,rtij,,,,,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00566nas  2200193u  4500,9.91895990010148E15,971219q19859999be mr|p||     0|||a|dut c,971219q19859999be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001895990LBS01-Aleph^$ $ $a7281902^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918959900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVP persbrief.,^$ $ $aBrussel$ $ $bCVP$ $ $c[1985]-?,^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,^,aCVP,gChristelijke volkspartij,gChristelijke volksp,rtij,,,,,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00572nas  2200193u  4500,9.91895992010148E15,971219q19851986be ur|p||     0|||a|dut c,971219q19851986be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001895992LBS01-Aleph^$ $ $a7281909^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918959920101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aOnder ons gezegd.,^$ $ $aBrussel$ $ $bCVP$ $ $c1985-[1986],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,^,aCVP,gChristelijke volkspartij,gChristelijke volksp,rtij,,,,,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00517nas  2200169u  4500,9.91899245010148E15,971219q19851986be ur|p||     0|||a|dut c,971219q19851986be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001899245LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918992450101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aCVP-jongeren. Info.,^$ $ $aBrussel$ $ $bCVP-Jongeren. Nationaal secretariaat$ $ $c[1983]-9999,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00598nas  2200193u  4500,9.91899267010148E15,980112q19841985be ur|p||     0|||a|dut c,980112q19841985be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001899267LBS01-Aleph^$ $ $a7297448^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918992670101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInformatiekrant.,^$ $ $aMechelen$ $ $bCVP. Arrondissement Mechelen$ $ $c[1984]-[1985],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^,LBS01,bib_200501.mrc.2.as,,,,,,^$2$ $aCVP. Arrondissement Mechelen$ $ $4oth,^,aCVP. Arrondissement Mechelen,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
